Image Address,Target Index,Target Right Ascension,Target Declination,Survey,Band,Number of Central Blobs,Main Blob Center,Main Blob Radius,Main Blob Displacement,Percent Outside Diffraction,Threshold Value,Percent of Image White,Validation,Error
FITS/TAM/index-0/WISE+(AllWISE)--w3,0,92.3341718,-18.1264346,WISE,w3,1,"(22, 22)",9,1.4142135623730951,0.26932668329177056,0.361328125,0.23851851851851852,,NULL
FITS/TAM/index-0/WISE+(AllWISE)--w2,0,92.3341718,-18.1264346,WISE,w2,1,"(22, 21)",8,2.23606797749979,0.0,0.326171875,0.16444444444444445,,NULL
FITS/TAM/index-0/DSS--DSS1+Blue,0,92.3341718,-18.1264346,DSS,DSS1+Blue,1,"(29, 31)",19,1.4142135623730951,0.684312459651388,0.630859375,0.5601694915254237,,NULL
FITS/TAM/index-0/DSS--DSS1+Red,0,92.3341718,-18.1264346,DSS,DSS1+Red,1,"(17, 17)",11,1.4142135623730951,0.7338345864661654,0.603515625,0.7216326530612245,,NULL
FITS/TAM/index-0/DSS--DSS2+Blue,0,92.3341718,-18.1264346,DSS,DSS2+Blue,2,"(14, 18)",11,4.0,0.7242990654205608,0.611328125,0.8734693877551021,,NULL
FITS/TAM/index-0/2MASS--K,0,92.3341718,-18.1264346,2MASS,K,1,"(30, 30)",4,1.4142135623730951,0.0,0.314453125,0.02069336199946251,,NULL
FITS/TAM/index-0/WISE+(AllWISE)--w4,0,92.3341718,-18.1264346,WISE,w4,0,NULL,NULL,NULL,NULL,0.556640625,0.43555555555555553,0,Image lacks central blob
FITS/TAM/index-0/DSS--DSS2+Red,0,92.3341718,-18.1264346,DSS,DSS2+Red,1,"(29, 29)",16,1.4142135623730951,0.48308668076109934,0.517578125,0.352484918126975,,NULL
FITS/TAM/index-0/DSS--DSS2+IR,0,92.3341718,-18.1264346,DSS,DSS2+IR,1,"(29, 30)",14,1.0,0.25232198142414863,0.427734375,0.21694915254237288,,NULL
FITS/TAM/index-0/WISE+(AllWISE)--w1,0,92.3341718,-18.1264346,WISE,w1,1,"(22, 21)",8,2.23606797749979,0.04590163934426229,0.345703125,0.22271604938271605,,NULL
FITS/TAM/index-0/2MASS--J,0,92.3341718,-18.1264346,2MASS,J,1,"(30, 30)",7,1.4142135623730951,0.0,0.349609375,0.0249932813759742,,NULL
FITS/TAM/index-0/2MASS--H,0,92.3341718,-18.1264346,2MASS,H,1,"(30, 30)",4,1.4142135623730951,0.0,0.291015625,0.02445579145391024,,NULL
FITS/TAM/index-1/WISE+(AllWISE)--w3,1,110.0955223,-56.2944446,WISE,w3,1,"(22, 22)",11,1.4142135623730951,0.2871046228710462,0.384765625,0.20757575757575758,,NULL
FITS/TAM/index-1/WISE+(AllWISE)--w2,1,110.0955223,-56.2944446,WISE,w2,1,"(22, 22)",8,1.4142135623730951,0.0,0.357421875,0.13333333333333333,,NULL
FITS/TAM/index-1/DSS--DSS2+Blue,1,110.0955223,-56.2944446,DSS,DSS2+Blue,2,"(16, 17)",14,2.23606797749979,0.756198347107438,0.583984375,0.8620408163265306,,NULL
FITS/TAM/index-1/2MASS--K,1,110.0955223,-56.2944446,2MASS,K,1,"(29, 28)",4,3.605551275463989,0.0,0.349609375,0.015318462778822897,,NULL
FITS/TAM/index-1/WISE+(AllWISE)--w4,1,110.0955223,-56.2944446,WISE,w4,0,NULL,NULL,NULL,NULL,0.494140625,0.49696969696969695,0,Image lacks central blob
FITS/TAM/index-1/DSS--DSS2+Red,1,110.0955223,-56.2944446,DSS,DSS2+Red,1,"(29, 28)",15,2.23606797749979,0.42672919109026963,0.474609375,0.29991381786842863,,NULL
FITS/TAM/index-1/DSS--DSS2+IR,1,110.0955223,-56.2944446,DSS,DSS2+IR,1,"(29, 29)",14,1.4142135623730951,0.20418848167539266,0.427734375,0.16836158192090395,,NULL
FITS/TAM/index-1/WISE+(AllWISE)--w1,1,110.0955223,-56.2944446,WISE,w1,1,"(22, 22)",8,1.4142135623730951,0.05102040816326531,0.357421875,0.1484848484848485,,NULL
FITS/TAM/index-1/2MASS--J,1,110.0955223,-56.2944446,2MASS,J,1,"(30, 29)",4,2.23606797749979,0.0,0.357421875,0.019887127116366567,,NULL
FITS/TAM/index-1/2MASS--H,1,110.0955223,-56.2944446,2MASS,H,1,"(29, 29)",4,2.8284271247461903,0.0,0.310546875,0.017737167428110722,,NULL
FITS/TAM/index-2/WISE+(AllWISE)--w3,2,317.5417341,-43.3827829,WISE,w3,1,"(21, 21)",11,1.4142135623730951,0.24289405684754523,0.404296875,0.19989669421487602,,NULL
FITS/TAM/index-2/WISE+(AllWISE)--w2,2,317.5417341,-43.3827829,WISE,w2,1,"(22, 22)",8,0.0,0.0,0.349609375,0.12706611570247933,,NULL
FITS/TAM/index-2/DSS--DSS2+Blue,2,317.5417341,-43.3827829,DSS,DSS2+Blue,2,"(14, 19)",11,4.123105625617661,0.7084019769357496,0.572265625,0.8530612244897959,,NULL
FITS/TAM/index-2/2MASS--K,2,317.5417341,-43.3827829,2MASS,K,1,"(29, 30)",4,2.23606797749979,0.0,0.322265625,0.014243482934694974,,NULL
FITS/TAM/index-2/WISE+(AllWISE)--w4,2,317.5417341,-43.3827829,WISE,w4,0,NULL,NULL,NULL,NULL,0.537109375,0.46384297520661155,0,Image lacks central blob
FITS/TAM/index-2/DSS--DSS2+Red,2,317.5417341,-43.3827829,DSS,DSS2+Red,1,"(30, 29)",16,1.0,0.45484949832775917,0.521484375,0.30939385234128125,,NULL
FITS/TAM/index-2/DSS--DSS2+IR,2,317.5417341,-43.3827829,DSS,DSS2+IR,1,"(30, 30)",11,0.0,0.07905138339920949,0.423828125,0.15734463276836158,,NULL
FITS/TAM/index-2/WISE+(AllWISE)--w1,2,317.5417341,-43.3827829,WISE,w1,1,"(21, 21)",8,1.4142135623730951,0.03272727272727273,0.349609375,0.14204545454545456,,NULL
FITS/TAM/index-2/2MASS--J,2,317.5417341,-43.3827829,2MASS,J,1,"(29, 29)",7,2.8284271247461903,0.0,0.365234375,0.020155872077398548,,NULL
FITS/TAM/index-2/2MASS--H,2,317.5417341,-43.3827829,2MASS,H,1,"(29, 30)",4,2.23606797749979,0.0,0.314453125,0.01585595270088686,,NULL
FITS/TAM/index-3/WISE+(AllWISE)--w3,3,309.2961832,-65.0333208,WISE,w3,1,"(21, 22)",9,2.23606797749979,0.21236559139784947,0.416015625,0.19141414141414143,,NULL
FITS/TAM/index-3/WISE+(AllWISE)--w2,3,309.2961832,-65.0333208,WISE,w2,1,"(22, 22)",8,1.4142135623730951,0.0,0.349609375,0.11717171717171718,,NULL
FITS/TAM/index-3/DSS--DSS2+Blue,3,309.2961832,-65.0333208,DSS,DSS2+Blue,1,"(16, 16)",14,2.8284271247461903,0.7285276073619632,0.544921875,0.8971428571428571,,NULL
FITS/TAM/index-3/2MASS--K,3,309.2961832,-65.0333208,2MASS,K,1,"(29, 29)",4,2.8284271247461903,0.0,0.322265625,0.014243482934694974,,NULL
FITS/TAM/index-3/WISE+(AllWISE)--w4,3,309.2961832,-65.0333208,WISE,w4,0,NULL,NULL,NULL,NULL,0.603515625,0.46616161616161617,0,Image lacks central blob
FITS/TAM/index-3/DSS--DSS2+Red,3,309.2961832,-65.0333208,DSS,DSS2+Red,1,"(30, 29)",15,1.0,0.33918918918918917,0.466796875,0.25940821602987646,,NULL
FITS/TAM/index-3/DSS--DSS2+IR,3,309.2961832,-65.0333208,DSS,DSS2+IR,1,"(30, 31)",14,1.0,0.17757009345794392,0.443359375,0.15508474576271186,,NULL
FITS/TAM/index-3/WISE+(AllWISE)--w1,3,309.2961832,-65.0333208,WISE,w1,1,"(21, 22)",8,2.23606797749979,0.003787878787878788,0.349609375,0.13333333333333333,,NULL
FITS/TAM/index-3/2MASS--J,3,309.2961832,-65.0333208,2MASS,J,1,"(29, 29)",4,2.8284271247461903,0.0,0.357421875,0.017737167428110722,,NULL
FITS/TAM/index-3/2MASS--H,3,309.2961832,-65.0333208,2MASS,H,1,"(29, 29)",4,2.8284271247461903,0.0,0.318359375,0.014780972856758936,,NULL
FITS/TAM/index-4/WISE+(AllWISE)--w3,4,47.2258365,-18.9692032,WISE,w3,1,"(22, 22)",11,1.4142135623730951,0.2973621103117506,0.369140625,0.20592592592592593,,NULL
FITS/TAM/index-4/WISE+(AllWISE)--w2,4,47.2258365,-18.9692032,WISE,w2,1,"(22, 22)",8,1.4142135623730951,0.0,0.353515625,0.12246913580246914,,NULL
FITS/TAM/index-4/DSS--DSS1+Blue,4,47.2258365,-18.9692032,DSS,DSS1+Blue,1,"(30, 30)",19,0.0,0.6512125534950072,0.587890625,0.4985875706214689,,NULL
FITS/TAM/index-4/DSS--DSS1+Red,4,47.2258365,-18.9692032,DSS,DSS1+Red,1,"(17, 17)",11,1.4142135623730951,0.7297709923664122,0.591796875,0.6138775510204082,,NULL
FITS/TAM/index-4/DSS--DSS2+Blue,4,47.2258365,-18.9692032,DSS,DSS2+Blue,1,"(18, 19)",11,1.0,0.6927083333333334,0.525390625,0.8979591836734694,,NULL
FITS/TAM/index-4/2MASS--K,4,47.2258365,-18.9692032,2MASS,K,1,"(29, 29)",4,2.8284271247461903,0.0,0.330078125,0.015318462778822897,,NULL
FITS/TAM/index-4/WISE+(AllWISE)--w4,4,47.2258365,-18.9692032,WISE,w4,0,NULL,NULL,NULL,NULL,0.548828125,0.44493827160493826,0,Image lacks central blob
FITS/TAM/index-4/DSS--DSS2+Red,4,47.2258365,-18.9692032,DSS,DSS2+Red,1,"(29, 30)",15,1.0,0.4036585365853659,0.451171875,0.25677966101694916,,NULL
FITS/TAM/index-4/DSS--DSS2+IR,4,47.2258365,-18.9692032,DSS,DSS2+IR,1,"(30, 30)",14,0.0,0.2476780185758514,0.435546875,0.18559322033898304,,NULL
FITS/TAM/index-4/WISE+(AllWISE)--w1,4,47.2258365,-18.9692032,WISE,w1,1,"(22, 22)",9,1.4142135623730951,0.05787781350482315,0.365234375,0.15358024691358024,,NULL
FITS/TAM/index-4/2MASS--J,4,47.2258365,-18.9692032,2MASS,J,1,"(30, 29)",4,2.23606797749979,0.0,0.337890625,0.019887127116366567,,NULL
FITS/TAM/index-4/2MASS--H,4,47.2258365,-18.9692032,2MASS,H,1,"(29, 29)",4,2.8284271247461903,0.0,0.322265625,0.01639344262295082,,NULL
FITS/TAM/index-5/WISE+(AllWISE)--w3,5,67.6230638,-43.4105611,WISE,w3,1,"(22, 22)",9,0.0,0.23697916666666666,0.408203125,0.19834710743801653,,NULL
FITS/TAM/index-5/WISE+(AllWISE)--w2,5,67.6230638,-43.4105611,WISE,w2,1,"(22, 22)",8,0.0,0.0,0.353515625,0.11415289256198347,,NULL
FITS/TAM/index-5/DSS--DSS2+Blue,5,67.6230638,-43.4105611,DSS,DSS2+Blue,1,"(18, 18)",11,0.0,0.6816546762589928,0.490234375,0.8620408163265306,,NULL
FITS/TAM/index-5/2MASS--K,5,67.6230638,-43.4105611,2MASS,K,1,"(29, 29)",4,2.8284271247461903,0.0,0.314453125,0.011287288363343187,,NULL
FITS/TAM/index-5/WISE+(AllWISE)--w4,5,67.6230638,-43.4105611,WISE,w4,0,NULL,NULL,NULL,NULL,0.537109375,0.44989669421487605,0,Image lacks central blob
FITS/TAM/index-5/DSS--DSS2+Red,5,67.6230638,-43.4105611,DSS,DSS2+Red,1,"(29, 30)",15,1.0,0.4065533980582524,0.451171875,0.2570621468926554,,NULL
FITS/TAM/index-5/DSS--DSS2+IR,5,67.6230638,-43.4105611,DSS,DSS2+IR,1,"(29, 30)",11,1.0,0.06422018348623854,0.427734375,0.13333333333333333,,NULL
FITS/TAM/index-5/WISE+(AllWISE)--w1,5,67.6230638,-43.4105611,WISE,w1,1,"(22, 22)",8,0.0,0.00398406374501992,0.353515625,0.1337809917355372,,NULL
FITS/TAM/index-5/2MASS--J,5,67.6230638,-43.4105611,2MASS,J,1,"(29, 29)",4,2.8284271247461903,0.0,0.345703125,0.01585595270088686,,NULL
FITS/TAM/index-5/2MASS--H,5,67.6230638,-43.4105611,2MASS,H,1,"(29, 29)",4,2.8284271247461903,0.0,0.330078125,0.011287288363343187,,NULL
FITS/TAM/index-6/WISE+(AllWISE)--w3,6,54.2878604,-29.8301653,WISE,w3,1,"(22, 21)",11,1.0,0.2638190954773869,0.392578125,0.201010101010101,,NULL
FITS/TAM/index-6/WISE+(AllWISE)--w2,6,54.2878604,-29.8301653,WISE,w2,1,"(22, 22)",8,0.0,0.0,0.341796875,0.11767676767676767,,NULL
FITS/TAM/index-6/DSS--DSS1+Blue,6,54.2878604,-29.8301653,DSS,DSS1+Blue,1,"(29, 31)",16,1.4142135623730951,0.5075528700906344,0.529296875,0.3163841807909605,,NULL
FITS/TAM/index-6/DSS--DSS1+Red,6,54.2878604,-29.8301653,DSS,DSS1+Red,1,"(28, 31)",15,2.23606797749979,0.3822784810126582,0.505859375,0.2347457627118644,,NULL
FITS/TAM/index-6/DSS--DSS2+Blue,6,54.2878604,-29.8301653,DSS,DSS2+Blue,1,"(16, 17)",11,2.23606797749979,0.6833631484794276,0.677734375,0.6195918367346939,,NULL
FITS/TAM/index-6/2MASS--K,6,54.2878604,-29.8301653,2MASS,K,1,"(29, 30)",4,2.23606797749979,0.0,0.318359375,0.013168503090567052,,NULL
