VVV_J2712426.16-421241  0.51100  0.0867    0    13.7093
M3 V124                 0.75243  0.0867   28     5.9504
M5 V87                  0.73921  0.0874   28     6.0107
FW Lup                  0.48417  0.0946   28     5.7156
Rup106 V13              0.65315  0.0981   28     4.9328
M68 V30                 0.73364  0.0992   28     5.3584
Rup106 V18              0.63547  0.1029   28     5.4264
M3 V62                  0.65241  0.1127   28     5.6235
Rup106 V16              0.62851  0.1201   28     5.2816
M5 V75                  0.68547  0.1231   28     5.6388
CN Lyr                  0.41138  0.1245   28     5.5319

