,16m,32m,01m,50m
methanococcales,0.0,,0.0,0.0
spirochaetales,,0.0,0.0,0.0
saccharomycetales,,0.0,0.0,0.0
thermales,,0.0,0.0,0.0
dehalococcoidales,0.0,0.24702380952380953,0.0,0.0
desulfuromonadales,0.0,0.0,0.0,0.0
rhodobacterales,0.0,,0.0,0.0
schizosaccharomycetales,0.26570048309178745,0.0,0.0,0.0
clostridiales,0.0,0.21505376344086022,0.0,0.0
archaeoglobales,0.0,0.0,0.0,
halobacteriales,0.0,0.0,0.0,0.0
aquificales,0.0,0.0,0.0,0.0
alteromonadales,,0.0,0.0,0.0
thermoanaerobacterales,0.0,0.0,0.0,0.0
burkholderiales,0.0,0.0,0.0,0.0
pasteurellales,0.0,,0.0,0.0
lactobacillales,0.0,0.0,0.0,
desulfurococcales,,0.4154838709677419,0.0,0.0
thermococcales,,0.5263157894736842,0.0,0.36082474226804123
enterobacteriales,0.0,0.0,0.0,0.0
thermoproteales,0.0,0.0,0.0,0.0
chlamydiales,,0.0,0.0,0.0
chroococcales,0.0,0.0,0.0,0.0
rhizobiales,0.0,0.0,0.0,0.0
methanosarcinales,0.0,,0.0,0.0
pseudomonadales,0.0,,0.0,0.0
methanobacteriales,0.4629629629629629,,0.0,0.0
thermoplasmatales,0.0,0.0,0.0,0.0
thermotogales,0.0,0.0,0.0,
actinomycetales,0.0,0.0,0.0,0.0
bacillales,0.0,0.0,,0.0
methanopyrales,0.0,0.0,,0.0
desulfovibrionales,0.0,0.0,0.0,0.0
caulobacterales,0.0,,0.0,0.0
