,16m,32m,01m,50m
 Oxidoreductases [EC 1.-],0.32644628099173556,0.0,0.0,0.9346733668341708
 Transferases [EC 2.-],,0.7845744680851064,0.0,0.6145640074211502
 Isomerases [EC 5.-],0.9012875536480687,,0.0,0.0
 Lyases [EC 4.-],0.0,0.0,,0.0
 Ligases [EC 6.-],0.20448179271708683,0.0,0.0,0.0
