Dissociating molecule,Partner,Arrhenius n,Arrhenius С(*Na/10^16),Arrhenius n(Scanlon et al.),Arrhenius С(*Na/10^16)(Scanlon et al.)
N2,N,-1.6,3.0,-0.68,0.0006
N2,N2,-1.6,0.7,-0.62,0.00025
N2,O,-1.6,3.0,-0.54,0.00024
N2,NO,-1.6,0.7,-0.68,0.0009
N2,O2,-1.6,0.7,-0.68,0.0009
O2,O2,-1.5,0.2,-1.0,0.00323
O2,O,-1.5,1.0,-1.05,0.00903
O2,N,-1.5,0.2,-1.0,0.00662
O2,NO,-1.5,0.2,-1.0,0.00662
O2,N2,-1.5,0.2,-1.0,0.00783
NO,O,0.0,0.000011,-1.1,0.02409
NO,N,0.0,0.000011,-1.1,0.02409
NO,O2,0.0,0.0000005,-1.0,0.01204
NO,N2,0.0,0.0000005,-1.0,0.01265
NO,NO,0.0,0.0000005,-1.0,0.00602
